period,bsurf
0.69374767,1.22E+12
0.002634135,4.50E+07
0.003463099,4.55E+07
0.002977819,6.80E+07
0.002677923,6.97E+07
0.002338514,7.29E+07
0.003539376,7.65E+07
0.004990575,7.73E+07
0.002159288,8.05E+07
0.002427888,8.34E+07
0.00265213,8.61E+07
0.003354336,8.92E+07
0.003445251,9.26E+07
0.003163316,9.55E+07
0.005109273,9.70E+07
0.002789552,9.74E+07
0.001877182,9.77E+07
0.003266187,9.93E+07
0.002868953,1.01E+08
0.003170139,1.01E+08
0.002630381,1.04E+08
0.005277327,1.08E+08
0.001687987,1.09E+08
0.00339271,1.13E+08
0.002379879,1.13E+08
0.002573152,1.17E+08
0.003543431,1.19E+08
0.001855733,1.20E+08
0.0021867,1.22E+08
0.0017424,1.28E+08
0.004638029,1.31E+08
0.004631196,1.31E+08
0.001845666,1.34E+08
0.001686375,1.38E+08
0.003784405,1.38E+08
0.002556367,1.39E+08
0.003625097,1.40E+08
0.003496634,1.41E+08
0.002194696,1.48E+08
0.00164561,1.49E+08
0.003084233,1.51E+08
0.002719112,1.52E+08
0.003299339,1.54E+08
0.002896216,1.54E+08
0.005223271,1.61E+08
0.004110544,1.64E+08
0.003617993,1.66E+08
0.003478771,1.67E+08
0.002439296,1.67E+08
0.001607402,1.67E+08
0.003934524,1.68E+08
0.002011953,1.70E+08
0.004909239,1.72E+08
0.003061844,1.73E+08
0.004201609,1.73E+08
0.004226532,1.73E+08
0.003150808,1.76E+08
0.004553528,1.78E+08
0.00205696,1.84E+08
0.004175017,1.84E+08
0.003597928,1.87E+08
0.005471331,1.87E+08
0.003050203,1.89E+08
0.006092368,1.89E+08
0.002885736,1.90E+08
0.002660593,1.91E+08
0.004091797,1.91E+08
0.005116388,1.92E+08
0.003704639,1.93E+08
0.004074546,1.93E+08
0.003788156,1.93E+08
0.003597898,1.96E+08
0.003559764,1.99E+08
0.004570137,2.00E+08
0.002149912,2.04E+08
0.002884227,2.04E+08
0.002947108,2.06E+08
0.003576582,2.10E+08
0.008853497,2.11E+08
0.003914873,2.12E+08
0.002389421,2.13E+08
0.004872766,2.13E+08
0.004185544,2.14E+08
0.005084174,2.14E+08
0.004129145,2.17E+08
0.003119227,2.17E+08
0.005790152,2.18E+08
0.004808428,2.18E+08
0.003861325,2.21E+08
0.002732589,2.22E+08
0.004983584,2.22E+08
0.004865453,2.25E+08
0.003625746,2.28E+08
0.004505159,2.30E+08
0.002560371,2.34E+08
0.00314867,2.38E+08
0.004430012,2.38E+08
0.004508642,2.42E+08
0.00234456,2.47E+08
0.006000603,2.48E+08
0.002483928,2.58E+08
0.005948958,2.60E+08
0.006907549,2.61E+08
0.003589337,2.62E+08
0.005792303,2.63E+08
0.005192325,2.71E+08
0.003627028,2.73E+08
0.00531255,2.78E+08
0.003726348,2.82E+08
0.004625962,2.83E+08
0.002643343,2.87E+08
0.006385729,2.88E+08
0.004304776,2.89E+08
0.005490969,2.90E+08
0.003683879,2.93E+08
0.004621642,2.96E+08
